Pic ID,Date,Bank Name,Zipcode,State,Amount
2359,17-12-2021,fifth third bank,60005,IL,95
2359,17-12-2021,fifth third bank,60661-5774,IL,60
2359,17-12-2021,fifth third bank,,,"27,000.00"
2359,17-12-2021,fifth third bank,,,20
2359,17-12-2021,fifth third bank,,,155
2360,17-12-2021,fifth third bank,60010,IL,"141,968.62"
2360,17-12-2021,fifth third bank,60616,IL,
2410,17-12-2021,chase,10038,NY,644.51
2410,17-12-2021,chase,,,569.85
2483,17-12-2021,,12345,NY,"1,850"
2485,18-12-2021,bank of america,36301,AL,"1,922.04"
2486,18-12-2021,federal,36305,AL,328.44
2486,18-12-2021,federal,36301,AL,
2487,18-12-2021,first citizens bank,36081,AL,334.335.6523
2487,18-12-2021,citi,36049,AL,334.335.6521
2487,18-12-2021,,,,15.36
2502,18-12-2021,,2026,MA,453.37
2503,18-12-2021,federal credit union,33025,FL,29.2021
2504,18-12-2021,nycb,33484-4514,FL,436
2504,18-12-2021,community bank,15324,PA,
2505,18-12-2021,,2368,MA,166
2506,18-12-2021,chase,33021-3405,FL,465
2507,18-12-2021,chase,33463-6734,FL,380
2508,18-12-2021,chase,33498-1944,FL,90
2509,18-12-2021,chase,33461-1577,FL,
2510,18-12-2021,chase,34990-7606,FL,405
2511,18-12-2021,,33406,FL,186
2511,18-12-2021,,33461-3681,FL,
2512,18-12-2021,bb&t,27609-3986,NC,279
2513,18-12-2021,ocean bank,33194,FL,30
2514,18-12-2021,navy fed,34957,FL,
2514,18-12-2021,federal credit union,,,
2515,18-12-2021,chase,34990-7712,FL,311
2516,18-12-2021,chase,11581-2827,NY,195
2517,18-12-2021,chase,60016-3760,IL,06.28.21
2519,18-12-2021,chase,33437-3775,FL,
2520,18-12-2021,chase,33434-3664,FL,
2521,18-12-2021,,91327,CA,1.306.36
2521,18-12-2021,,16311,PA,0
2521,18-12-2021,,91436-4386,CA,
2522,18-12-2021,,74012,OK,410
2522,18-12-2021,,91355,CA,
2522,18-12-2021,,28435,NC,
2523,18-12-2021,us bank,90221,CA,"1,082.83"
2523,18-12-2021,us bank,91311,CA,
2524,18-12-2021,bank of texas,91311,CA,
2525,18-12-2021,bank of texas,77066,TX,
2526,18-12-2021,wells fargo,46815,IN,137.81
2527,18-12-2021,,91351,CA,
2528,18-12-2021,,46808,IN,
2529,18-12-2021,,16311,PA,
2597,18-12-2021,key bank,11207,NY,"6,573.67"
2597,18-12-2021,key bank,12204-2893,NY,383.67
2597,18-12-2021,key bank,10466,NY,338
2606,20-12-2021,chase,77019-5924,TX,828
2622,20-12-2021,capital one,20817,MD,965.68
2622,20-12-2021,chase,20784,MD,437
2622,20-12-2021,,20015,DC,320.0066
2622,20-12-2021,,20815-4848,MD,"3,350.00"
2622,20-12-2021,,20704,MD,296
2622,20-12-2021,,,,202.320.0066
2622,20-12-2021,,,,20
2623,20-12-2021,pnc bank,20814-3505,MD,394
2623,20-12-2021,bank of america,20816-3031,MD,280
2623,20-12-2021,chase,20815-3260,MD,240
2623,20-12-2021,usaa,20817-3621,MD,
2625,20-12-2021,citibank,20814,MD,35.15
2625,20-12-2021,citi,20009,DC,3
2625,20-12-2021,,20036,DC,174
2625,20-12-2021,,20816,MD,0.07
2625,20-12-2021,,20006-0967,DC,
2626,20-12-2021,pnc bank,20814-1213,MD,754.65
2626,20-12-2021,wells fargo,20814-4606,MD,540
2626,20-12-2021,,20814-1335,MD,
2626,20-12-2021,,20816-1262,MD,
2626,20-12-2021,,20814-1333,MD,
2628,20-12-2021,bank of america,21771-2832,MD,57.5
2628,20-12-2021,bank of america,20817-6332,MD,344.76
2628,20-12-2021,bank of america,20816-3031,MD,300
2628,20-12-2021,bank of america,20814-4735,MD,16.15
2628,20-12-2021,bank of america,20817-6076,MD,149.29
2628,20-12-2021,bank of america,20814-2305,MD,
2740,23-12-2021,td bank,19120,PA,605
2741,23-12-2021,citi,19120-1312,PA,180
2742,23-12-2021,wells fargo,19120-1007,PA,
2743,23-12-2021,pnc bank,19120,PA,
2744,23-12-2021,citi,19120,PA,559.67
2745,23-12-2021,wells fargo,19120,PA,88
2746,23-12-2021,citi,19149-1920,PA,100
2747,23-12-2021,citi,19144-2002,PA,
2748,23-12-2021,pnc bank,19120-3504,PA,600
2749,23-12-2021,chase,98124-9750,WA,"2,100.00"
2749,23-12-2021,cashier's check,97050,OR,
2776,23-12-2021,chase,77234-4506,TX,"2,230.00"
2776,23-12-2021,chase,30607,GA,
2776,23-12-2021,chase,77002,TX,
2777,23-12-2021,chase,77002,TX,"7,445.00"
2778,23-12-2021,citibank,33116-3643,FL,287
2778,23-12-2021,citi,10043,NY,
2860,24-12-2021,wells fargo,33134,FL,"1,060.00"
2861,24-12-2021,wells fargo,34987,FL,273
2864,24-12-2021,chase,11210-4801,NY,
2869,24-12-2021,td bank,11212,NY,488.55
2869,24-12-2021,td bank,11236,NY,
2870,24-12-2021,chase,11203,NY,304.97
2871,24-12-2021,chase,11226-7871,NY,
2892,10/12/2021,,,,"3,017.50"
2911,26-12-2021,first citizens bank,75265-0690,TX,768.57
